course_number,course_name,credits,description,
ECD 345,Family Systems and Community Resources,3,"This course provides students with an analysis of theories and approaches for working with children, families, and the community. Students will examine how culture and family structure influences a child’s learning and development. Additionally, students will synthesize how children’s needs are met and supported through the family and community environment as socializing agents. Finally, students will evaluate family and community programs, agencies and resources that support the diverse needs of children.",
ECD 405,Assessment & Intervention,3,"The content in this course will allow students to analyze the purpose of assessment in supporting children across all developmental domains. Using this foundation, students will examine the practical application of assessment tools and utilize assessment strategies to enhance the growth and development of children. Finally, students will synthesize their learning by developing an assessment portfolio that contains intervention strategies for meeting the developmental needs of children.",
ECD 410,Behavioral Methods & Strategies,3,"In this course students will analyze the major theories of behavior. Students will evaluate effective strategies for both practitioners and families to use to promote optimal behavior in a diverse childhood population. In addition, students will create an environment that is inclusive of different behavioral needs. Finally, students will design an individual behavioral support plan for specific disruptive behaviors. Prerequisite:",
ECD 415,Foundations of Play & Learning,3,"This course focuses on play as the primary learning modality for young children. In this course, students will explain the function of play as a teaching and learning tool as well as analyze the role of play as a means of assessment. Students will evaluate the cultural and individual student factors that impact play in diverse settings. Finally students will design appropriate play based activities and formulate a framework of play and learning for working with young children. ECE Early Childhood Education",
ECE 101,Introduction to Early Childhood Education,3,"This course provides an overview of the field of early childhood education including history, philosophy, advocacy, public policy, issues, trends, and careers.",
ECE 201,"Introduction to Early Childhood
Behavior Management",3,Introduction to Early Childhood Behavior Management will address age- appropriate behavioral expectations. Challenging behaviors will be identified as well as strategies to assist with classroom management. Strategies to increase positive self-esteem as well as strategies to assist with classroom management will be examined. Students will also apply the understanding of how planning and assessment will be utilized to address challenging behaviors in the classroom. The final project will include creating a behavior plan to address a child's needs. 305COURSE DESCRIPTIONS,
ECE 203,"Introduction to Curriculum
& Instruction for the Early Childhood Classroom",3,"Introduction to Curriculum and Instruction for the Early Childhood Classroom lays the foundation for creating a meaningful curriculum for young learners. The course focuses on examining the role of early childhood educators in creating, implementing, and assessing curriculum. Learners will evaluate teaching strategies for supporting instruction, apply state and professional standards to curriculum and learning activities, and plan culturally relevant learning opportunities that embrace diversity, inclusivity, equity, and children’s interests. Additionally, learners will design activities for facilitating developmentally appropriately curriculum.",
ECE 205,Introduction to Child Development,3,"Introduction to Child Development examines the principles of child development from birth to age eight. Students will discuss the major developmental stages, domains, and milestones of child development. Students will also analyze how developmental stages, domains of development, and knowledge of theories support developmentally appropriate practices. Using their knowledge of developmentally appropriate practices, students will describe environments that nurture the physical, socio-emotional, language and cognitive growth of every child. Students will conduct observations to plan developmentally appropriate instruction that supports children’s individual needs. Finally, students will explore the importance of family involvement in supporting growth and development of young learners.",
ECE 207,"Professional Responsibilities in the
Early Childhood Environment",3,"Professional Responsibilities in the Early Childhood Environment examines key topics related to high-quality early learning environments. In this course, students will discuss ways to involve families in the health, safety and nutritional growth of their children. Students will also utilize their knowledge of developmentally appropriate practices to plan for high-quality learning environments for young children. Finally, this course examines administrative practices, workforce issues, professional standards, and ethical behaviors associated with operating a high-quality early childhood environment.",
ECE 214,Nutrition & Health of Children & Families,3,"This course provides information related to standards and best practices that promote children’s health and overall well-being. It investigates sound nutritional practices and safe learning environments. This course involves information for developing sound health and safety procedures for learning environments of young children. Students will explore resources to make recommendations to families which support the health, nutrition, and safety of young children.",
ECE 312,"Administration of Early Childhood
Education Programs",3,"This course focuses on the development and implementation of early childhood programs for a variety of age groups and purposes. Specifically, curriculum development, materials, teaching strategies, evaluation, budgets, hiring procedures and state guidelines and regulations are addressed as are the skills and competencies to implement the above.",
ECE 313,Collaboration with Parents & Community,3,"Students will examine factors that promote effective communication and collaboration between early educators, families of children, and the community. In additional, learners will identify resources to foster these partnerships.",
ECE 315,Language Development in Young Children,3,This course provides an introduction to the developmental stages of language acquisition in young children. The focus of the course is on the facilitation of language acquisition in young children. 306,
ECE 320,Supporting Adolescent Development,3,"Adolescence is the largest developmental period other than infancy. The purpose of this course is to provide a solid foundation for educators and professionals to be able to critically think about supporting healthy adolescent development. In this course, students will apply key concepts and developmental theories related to the physical, social- emotional, behavioral, and cognitive changes during adolescence. Students will interpret research on the development of adolescent gender identity, sexuality, and romantic relationships. Additionally, students will analyze effective practices for communication with adolescents in the context of family and school. Throughout the course students will analyze the impact of diverse experiences on adolescent development. Lastly, students will propose strategies for supporting adolescents facing mental health and behavioral issues.",
ECE 332,Child Development,3,"This course provides a basic introduction to the nature of human growth and development as it occurs from conception through early childhood. Students learn about motor, cognitive, social, emotional, moral, aesthetic, and language development in early childhood.",
ECE 335,Children’s Literature,3,"The course is designed to provide students with current approaches to support literacy development in young children. Students will identify strategies and community resources that will aid family involvement in young children’s literacy acquisition, demonstrate strategies for literacy instruction that support each stage of development, and discuss the role of children’s literature in diverse classrooms.",
ECE 341,"Social & Emotional Growth of
Infants & Toddlers",3,"Social-emotional development including the management of emotions and the ability to establish positive relationships with others will be covered in this course. Students will learn the important elements in a childcare setting that support healthy social, emotional, and behavioral adjustment in infants and toddlers.",
ECE 343,"Quality Care Environments for
Infants & Toddlers",3,"Students will learn both theory and application of why and how to set up, arrange and change early childhood learning environments to effectively meet the developmental needs of very young children. The role of the teacher, the importance of the environment, design principles, health and safety will be covered in this course.",
ECE 345,"Infant & Toddler Learning &
Development",3,"Emphasis will be placed on effective activities and practices to promote language development, cognitive development and motor skill development in young children. Sensory, music and movement development will also be covered in this course. Appropriate behavior teaching and coaching for infants, toddlers and two year olds will be discussed.",
ECE 347,"Culture, Family & Childcare",3,"This course will increase the students expertise and understanding of all the components that must work together to create an effective childcare setting in which all children can thrive. Elements to be covered in the planning of a childcare environment include discipline and behavior management as well as consideration of the child’s developmental level, the family and cultural context.",
ECE 350,"Cognitive Development of
Infants & Young Children",3,"In this course, students will explore cognitive development from infancy through adolescence. They will be responsible for identifying the theoretical frameworks that support cognitive development. Students THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS will have the opportunity to explain the development of perception, attention, and memory. Students will utilize the concepts of knowledge, categorization, and conceptual development in professional contexts. They will also evaluate concepts of language development, thinking, reasoning, and decision making in diverse environments. Additionally, students will prepare to support cognitive development through professional collaboration.",
ECE 351,Play & Learning for the Young Child,3,"In this course students explore the significant role and impact of play on the development of children. Students will actively participate in discussions and activities related to major theorists, current research on play, the developmental stages of play, cultural influences, and current trends and topic related to play.",
ECE 355,Understanding Behavior & Family Dynamics,3,This course will explore the role of families on the developing child. Students will analyze how parenting styles influence the social and emotional development of children and adolescents. They will also explore the unique characteristics and challenges for a wide variety of family structures and cultural contexts. Students will compile and develop strategies for successful collaboration with diverse families as well as tools to support positive parent/child interactions.,
ECE 405,Children & Families in a Diverse Society,3,"This course will provide a clear and practical introduction to multicultural and anti-bias issues, and aid students in developing culturally relevant methods working with children and families in early childhood settings.",
ECE 600,"Leadership, Innovation, and
Social Justice in Early Childhood Education",3,"Students in this course will be introduced to the professional knowledge, skills, dispositions, and standards expected of early childhood education professionals and innovative leaders in the field. Further, this course will introduce several programmatic themes—social justice, 21st century teaching and learning, and leadership—to inspire students to be active early childhood advocates for children. Students will also gain insights and understanding related to the academic, personal, and professional expectations of graduate students to support their success in the MAECEL program and in their profession.",
ECE 605,Children & Families in a Diverse Society,3,This course will provide a clear and practical introduction to multicultural and anti-bias issues and will aid students in developing culturally relevant methods in working with children and families in early childhood settings.,
ECE 624,"Advanced Topics in Child Development,",3,"Learning, and Developmentally Appropriate Practices This course examines current issues, trends, theories, and research related to child development and developmentally appropriate practices in the early childhood classroom. Students generate ethical solutions to relevant issues in the field of early childhood education and social justice. Further, students will examine how various leadership models foster professional knowledge and skills within their chosen field of study. Using this information, students design a classroom environment that incorporates evidence-based and developmentally appropriate strategies that promote optimal learning and development in young children. Prerequisite:",
ECE 600,"or EDU 650
ECE 630 Language, Physical & Social
Development in Young Children",3,"This course provides an introduction to the developmental stages of language acquisition, physical and social development in young children from birth to 6. The focus of the course is on the specific developmental milestones in young children. 2023-2024 ACADEMIC CATALOG",
ECE 631,"Building Family and
Community Partnerships",3,"This course provides opportunities for students to examine partnerships among early childhood professionals, families, and the communities in which they work. Throughout the course, students evaluate how their daily instructional practices promote positive outcomes for young children. Students explore the various partnerships necessary in early childhood education and discover how these partnerships can support curriculum, learners’ development, and the learning environment. Course requirements provide several opportunities for students to examine and discuss the effectiveness of ethical communication and collaboration strategies. Approaching course topics as reflective practitioners, students are able to determine how these specific partnerships fit into their future roles. Prerequisite:",
ECE 600,"or EDU 650.
ECE 642 Quality Curriculum in Early Childhood Education",3,"In this course, students examine the relationship between theory, research, and practice in creating quality curriculum for the early childhood classroom. In addition, students evaluate a wide array of approaches, instructional strategies, and tools utilized to positively influence each child’s learning and development. Students also analyze their roles as leaders in evaluating curriculum materials and models that align with state and national standards. Utilizing this information, students design challenging curriculum that promotes comprehensive development and learning outcomes for all young children and across all domains of development. Prerequisite:",
ECE 600,"or EDU 650
ECE 653 Cognitive Development",3,of Infants & Young Children This course deals with theories regarding cognitive development in children from birth to eight years of age including knowledge resulting from brain research. The relationship between the rate of cognitive development and overall development will be explored throughout the course. Students will apply this knowledge to design programs to meet the needs of children with varying needs and abilities.,
ECE 654,"Assessment & Intervention
in Early Childhood",3,This course explores the issues around early assessment and intervention with young children. Specific developmental concerns will be identified and intervention programs will be examined.,
ECE 657,"Assessment to Support Young
Children and Families",3,"In this course, students examine the purpose and ethical use of assessment and evaluation strategies, tools, and procedures in early childhood education. In addition, students analyze assessment methods related to developmental concerns and intervention strategies in early childhood settings. Students also evaluate leadership roles and responsibilities in building effective learning environments and programs through assessment partnerships and action research initiatives with families and colleagues. Throughout the course, students learn how to utilize effective assessment strategies to positively influence child development.",
ECE 660,Action Research and Inquiry in Education,3,"Students enrolled in this course are introduced to action research and are provided with an explanation of the goals, rationale, and value of action research in the early childhood environment. Students will demonstrate effective use of research sources using digital tools and evaluative methods. They will apply methodologies and use ethics to evaluate various educational theories and research and acquire skills that support best practices. During this course, students will identify a problem, construct an action research proposal, collect and analyze data, and identify implications for future action research while considering their professional and leadership capabilities. Prerequisite:",
ECE 657,"307COURSE DESCRIPTIONS
ECE 671 Management and Administration of
Early Childhood Programs",3,"This course provides students with an overview of the knowledge and skills necessary to develop and administrate an early childhood facility. Students will create a personal definition of leadership and evaluate high-quality early childhood programs that meet the needs of diverse children, families, and communities. In addition, students will develop a strategic plan that meets high-quality and developmentally appropriate aspects of early childhood programs. Students will also examine how early childhood administrators evaluate faculty and staff. Prerequisite:",
ECE 600,"or EDU 650
ECE 672 Personnel Management & Staff",3,"Development for Early Childhood Administrators In this course, students evaluate professional early childhood learning resources that target learning outcomes, program needs, and support family and community partnerships. Students also develop a strategic plan to foster professional learning and development for early childhood staff and teachers that includes professional learning models. In addition, students create a system that supports the development of effective personnel management practices and promotes high-quality programs. Throughout the course, students analyze ethical and professionally sound decision-making and leadership practices used in early childhood education.",
ECE 673,"Advocacy, Policy, and Social Justice",3,"in Early Childhood Education In this course, students will learn about public policy and law as it relates to early childhood education. Students will leverage leadership skills, advocacy skills, and professional knowledge to promote educational transformation, social justice, and positive change in early childhood education. Prerequisite:",
ECE 695,Professional and Ethical Leadership in,3,"Early Childhood Education Capstone The capstone course is the culminating experience for the Master of Arts in Early Childhood Education Leadership program. In this course, students integrate concepts they have learned through a capstone project designed to propose solutions to complex ethical dilemmas in the field of early childhood. In addition, students critique and showcase their attainment of program learning outcomes through a professional e-portfolio designed for program and professional purposes. Prerequisite: All MAECEL Core course requirements. ECI Education Curriculum and Instruction",
ECI 601,"Introduction to Curriculum and
Instruction: The Science of Learning and Teaching",3,"This introductory course examines the science of learning and the impact that brain compatible instruction can have on learning. Students in the course analyze how learning theories, practices, and brain research-based strategies can support the development of effective curriculum & instruction and promote student success.",
ECI 605,"Contemporary Educational Issues,
Trends, & Challenges",3,"Effective curriculum design and implementation requires knowledge of educational and organizational issues, challenges, and trends. Professionals must use this knowledge collaboratively to make informed curriculum and instructional design decisions that positively impact learner, school, and organization achievement while sharing a belief that all learners can succeed. In this course, students are introduced to legislative reform policies, issues and trends pertaining to learning standards, college and career readiness, assessment and accountability, as well as improved accessibility to resources and the call for technology-based teaching, training, and learning. Prerequisite:",
ECI 601,"308
ECI 610 21st Century Curriculum, Standards,",3,"& Assessment This course examines the relationship between curriculum design and instructional strategies deemed best practices. Students design creative, student-centered, and standards-based learning opportunities incorporating 21st-century skills. Participation in this course challenges students to commit to a shift away from educational approaches of the past and embrace proven effective methods to engage diverse learners in a variety of learning environments. Prerequisite:",
ECI 615,Intentional Approaches to Intervention,3,"This course is designed to get students thinking about appropriate and intentional interventions to address a variety of challenges faced by learners in the instructional setting. Students apply practical, yet innovative instructional strategies to realistic situations in which interventions are needed to advance learners to the next level of success. A variety of evidence-based curriculum adaptations and interventions are examined with the goal of improved outcomes for learners, schools, districts or organizations. Prerequisite:",
ECI 630,"Authentic Technology Integration in
the Classroom",3,"In this engaging course, students develop distinct understandings of the relationships between motivation and learning as exemplified through technology-based experiences. Students are challenged to discover ways technology impacts curriculum and instruction design as a means to deliver the most effective learning experiences to meet the needs of diverse learners in diverse learning environments. No previous technology experience is required; only a desire to be change agents and harness 21st-century learning to improve educational outcomes. Prerequisite:",
ECI 680,"Collaborative Approaches to Curriculum
Alignment & Design",3,"With increased national attention on improved responsibility for curriculum, standards and assessment, having a shared belief of universal achievement and collaboration has never been more important. In this course, students will not only practice the steps of the curriculum design process, but do so in the spirit of collaboration. A variety of effective collaboration models are explored as students develop an understanding of curriculum improvement as an ongoing process while paying attention to both the curriculum (""what"") and the instruction (""how""). Prerequisite:",
ECI 601,ECI 685 Transforming Curriculum and Instruction,3,"Through Empowering Leadership When it comes to school or organizational improvement, leaders play a pivotal role in ensuring that a culture of achievement and growth is shared by all. In this course, students investigate a variety of principles including; growth mindset, transformational leadership, transparency, fostering a culture of continuous growth and achievement, principles of servant leadership, and the power of collaboration. The role professional development plays in laying a foundation for the curriculum design and implementation process is also examined. Leadership experience is not required to be successful in this course. Teachers, trainers, and educational leaders or administrators will learn practical, yet powerful ways to improve their professional practice. Prerequisites:",
ECI 601,"and EDU 650.
ECO Economics
ECO 203 Principles of Macroeconomics",3,Introduction to national income determination and the equilibrium level of output and employment. Monetary and fiscal policies as well as open economy issues are discussed. Recommended prerequisites: Fulfillment of the General Education Critical Thinking core competency and Digital Literacy competency. THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS,
ECO 204,Principles of Microeconomics,3,"Introduction to the theory of consumer equilibrium, market structure, and wage determination. Recommended prerequisites: Fulfillment of the General Education Critical Thinking competency, Quantitative Reasoning Core competency, and Digital Literacy competency. (Equivalent to",
ECO 316,Financial Institutions & Markets,3,"A study of money and capital markets concentrating on interest rate determination, the major public and private financial institutions in the U.S. economy, and the major types of financial instruments including bonds, equities, and derivative instruments. Prerequisite:",
ECO 100,"or
ECO 203. (Cross-listed as BUS 316.)
ECO 320 International Economics",3,"This course will focus on the environment of firms with particular emphasis on economic variables such as GNP, inflation, interest rates, exchange rates and international trade.",
ECO 342,Principles of Econometrics,3,"This course introduces students to multiple regression methods for analyzing data in economics and related disciplines. Students will study regression analysis using theories and data sets in order to understand the core concepts of estimation of economic parameters, prediction of economic outcomes, and statistical inference. The mathematics of econometrics will be introduced only as needed and will not be a central focus. Prerequisites:",
ECO 406,Business Cycles & Growth,3,"Topics include analysis of economic fluctuations and their impact on corporations and consumers; different explanations for business cycles; monetary and fiscal policy for stabilizing economic fluctuations; effects of public debt, investment, employment and trade policy on economic growth. Prerequisite:",
ECO 408,Managerial Economics,3,"This course will focus on the application of economic principles and analyses to contemporary business problems and managerial decision making. Emphasis will be given to price and production decision making for profit maximization, investment decision making for a new project, strategic decision making in various business situations, and decision making with risks and uncertainty. Prerequisite:",
EDU 100,Issues in Education,3,"This is an introductory course for students considering education as a career path or individuals seeking an increased understanding of the complexity and importance of education. This course dives into the foundational principles that all educators should intrinsically possess to be effective in today’s classrooms. The course will challenge students to explore their “why” for wanting to become an educator, character and ethics of educators, career options in education, the growth mindset, importance of believing in the student and a brief introduction to five research-based instructional models.",
EDU 108,Introduction to Policy & Education,3,"This course examines the theory, analysis, development and implementation of educational policy. It will explore the reasons for change in educational policy, ways to track its’ evolution, and manners in which educational policy may be influenced. The history of educational policy will also be explored.",
EDU 120,Principles of Instructional Design,3,"This introductory course will cover learning theories including behaviorist, cognitive, constructivist and social learning as well as examine their relationship to instructional practices and course design. Basic principles and vocabulary for instructional design will be 2023-2024 ACADEMIC CATALOG introduced. Additional topics covered will include factors that influence learning including motivation, learner engagement and learning styles. Students will begin to identify learning outcomes that can be addressed in an instructional design setting.",
EDU 232,Instructional Design for E-Learning,3,"This course will introduce students to a variety of eLearning strategies preparing them to select and evaluate eLearning for a variety of learners and organizational contexts. Throughout this course, students will have an opportunity to evaluate eLearning and create effective assessments for eLearning activities. Additionally, students build on prior learning about needs assessment in instructional design contexts. Prerequisite:",
EDU 302,"Foundations of Library & Information
Science",3,"In this course, students will explore and evaluate library services and programs designed to meet diverse user needs. The course includes a strong focus on customer service and creating welcoming and flexible library environments. Students will explore methods of communicating the library’s’ message to the community, including social networking. Students will discuss ethical, legal, and social issues surrounding programs and services, especially in the area of equal access for all patrons.",
EDU 304,Introduction to Education,3,"Introduction to Education, exposes students to current theories, issues, and practices that apply to the field of education. Students will learn about and apply varied instructional strategies, both individually and collaboratively. Topics include the role and responsibilities of professional educators, federal and state legislation in education, and serving students with special needs and language barriers. Students will discuss the importance of standards-based instruction and effective assessment methods. The concepts of educational equity, diversity, and inclusive practices for special populations are emphasized and woven into the instructional techniques, strategies, and developmental theories, taught in",
EDU 306,Library Programs & Services,3,"In this course, students will explore and evaluate library services and programs designed to meet diverse user needs. The course includes a strong focus on customer service and creating welcoming and flexible library environments. Students will explore methods of communicating the library’s message to the community, including social networking. Students will discuss ethical, legal, and social issues surrounding programs and services, especially in the area of equal access for all patrons.",
EDU 307,"Library Collection Development
& Management",3,"This course is an introduction to collection development and management. Students will learn the essential skills needed to manage a library collection in a variety of library settings. Learners will explore multiple categories of resources, including informational books, digital material, and media, and develop instructional materials to promote learning. Students will also examine policies and procedures related to library collections, and learn how library materials are classified and organized.",
EDU 308,Reference & Research Services,3,"This course provides knowledge and skills using general and specialized reference tools, materials and services for patrons. It includes topics including an exploration of the role of teaching, information literacy and the research process, the reference interview, information seeking behavior, and evaluation of reference resources and services. 309COURSE DESCRIPTIONS",
EDU 321,Introduction to Serving,3,"English Language Learners This course provides a sufficiently broad yet detailed exposure to the realities of teaching a diverse group of English language learners (ELL) and how to best meet their needs using various instructional and assessment strategies. Students will reflect upon their own language learning experiences to aid in their understanding of language development, acquisition, and proficiency in reading, writing, speaking, and listening. Additionally, students will examine the advantages and disadvantages of various English learning programs and significant historical and legislative events in bilingual education. The course is designed to prepare students to deliver content area instruction to ELLs with diverse abilities and backgrounds including but not limited to language, culture, socioeconomic status, and immigration status, using the sheltered instruction approach.",
EDU 324,History of American Education,3,"In this course students are introduced to the history of education in the United States by exploring the ideologies and theoretical frameworks that have shaped the social, political, cultural, and economic tenets within educational institutions in America. The course explores a historical perspective on the experiences of diverse groups of people within our nation’s schools. A particular focus on issues of power and privilege and the ways that race, class, gender, and sexuality intersect with school policies is highlighted. As a culminating project, students will demonstrate an understanding of the development of American education by explaining key historical conditions and events that have shaped the realities of the present-day educational system. (Cross-listed as",
EDU 335,"Design Concepts & Application
for Online Learning",3,"The application of instructional design for online learning will be emphasized as students apply their knowledge to analyze, select and design instructional strategies that are most effective for engaging and teaching online learners. Students will learn methods for managing and delivering online instruction utilizing course management tools and multimedia technologies in both synchronous and asynchronous environments. Prerequisites:",
EDU 120,"and EDU 232.
EDU 336 Evaluation of E-Learning",3,"In this course, students will examine eLearning in a variety of forms. Students will explore various instructional design eLearning principles, their application to eLearning materials, and will develop the skills necessary to evaluate eLearning products. Through the study of eLearning, students will also learn to identify evaluation methods that are appropriate to both context and audience. Prerequisites:",
EDU 120,"and EDU 232.
EDU 337 Collaboration in the Virtual Classroom",3,"In this course, students will discuss issues related to collaboration in the online environment and explore the use of technology to promote virtual collaboration, teamwork, and interaction. In addition, students will examine strategies for managing virtual teams and will utilize a variety of tools to design activities that leverage technology to support online collaboration and interaction. Prerequisites:",
EDU 120,"and EDU
232.
EDU 338 Human Development & Learning",3,"Brain development as related to human development and the capacity for learning will be explored throughout this course. The neuroscience of brain development and how this information translates into education, as well as the implications of this information for maximizing learning, memory, behavior and overall functioning, are topics that will be addressed. 310",
EDU 352,Foundations of Educational Technology,3,Foundations of Educational Technology is designed to give students hands-on experience with the infusion of educational technology into curriculum. Students will engage in developing activities for a project designed to impart a practical understanding of the idea that teaching with technology can be key in differentiating instruction for all learners. Students will gain firsthand experience in integrating technology into classroom activities to create learning environments that span academic disciplines and address the needs of the diverse learners in today’s classrooms.,
EDU 356,Emerging Issues in Educational Technology,3,Strategies and ideas of including the latest in technology advancements to promote student engagement and learner success will be examined in this course. Students will also gain hands-on experience using a variety of technology to create instructional materials. Prerequisites:,
EDU 120,"and EDU 232.
EDU 358 Assessment of Student Learning",3,"Students will learn to identify the differences in formative and summative evaluation data and design on-line learning scenarios to address both of these. The effectiveness of e-learning will be explored through research. The philosophy, use and development of grading rubrics for assignments will be explored. Issues of plagiarism and cheating in e-learning will also be examined. Prerequisites:",
EDU 120,"and
EDU 232.
EDU 362 Adult Learning & Instruction",3,"Students will learn about the various theories and practices associated with adult learning. Various modalities of instruction will be addressed including e-learning, accelerated courses, and training sessions.",
EDU 363,Education & Social Justice,3,"The influences of educational policy and its’ convergence with social justice will be studied in this course. Issues of race, gender, sexuality, globalism, and other multicultural issues within the study of politics and policy will be explored throughout this course.",
EDU 365,Politics of American Education,3,The political dimensions of policy formation/implementation in education and the use of power to influence educational policy will be explored. Conflict resolution and the analysis of consequences and impact will be examined.,
EDU 367,Elementary & Secondary School Media,3,"This class will explore the role of the teacher librarian and role of the library media center at three different levels of education (elementary, middle, and high school). Students will research programs, library practices, teaching styles and management in the facilitation of a library media center.",
EDU 371,Phonics-Based Reading & Decoding,3,"This course provides an overview of research-based concepts and instructional practices for teaching phonemic awareness and phonics. In addition, the course will address assessments for evaluating the performance of developing readers. This course will also cover early literacy principles and the stages and components of early literacy development. The course will help students draw connections between oral language, phonological awareness, phonemic awareness, phonics, and written language within an integrated and balanced language arts program. Prerequisite:",
EDU 372,Educational Psychology,3,"Educational Psychology explores the theories of how people learn. Selected learning theories are analyzed from the perspective of teaching and learning. Developmental theory and environmental and social factors are explored as they interface with the learning process. Educational psychology’s research is applied to the measurement, THE UNIVERSITY OF ARIZONA GLOBAL CAMPUSCOURSE DESCRIPTIONS assessment, and evaluation of learning and the effectiveness and efficiency of teaching-learning interactions.Framework for Information Literacy for Higher Education, and will examine ways of teaching information literacy to library users.",
EDU 381,Curriculum & Instructional Design,3,"Students will examine the pedagogy involved in designing, selecting and assessing curriculum to meet the needs of diverse learners. The basics such as how to write learning outcomes based on academic standards to selecting the research based materials and activities to support student learning, will be covered. Evaluation of student learning will be included in the course.",
EDU 499,College of Education Capstone,3,"The capstone will tie together the themes and concepts students have learned throughout their degree program. With this information as the foundation, students will synthesize theories, knowledge, and professional standards related to their field of study. Students will assess multiple influences, such as social and cultural factors, contemporary issues, and trends in their practice. Students will further demonstrate their knowledge of the field by applying evidence-based strategies, approaches, and technologies to their work. The students will explain environments that support optimal outcomes to the field of study. Finally, students will propose professional and ethical based practices that emphasize access, participation, and partnerships with children and families. Prerequisite: Successful completion of the General Education Capstone course.",
EDU 400,"Library Materials for Mid-grade &
Young Adults",3,"In this course students will explore, read, discuss, and assess a variety of middle grade and young adult literature, including informational text, award winning fiction, multicultural materials and more. Students will focus on recommending materials for library purchase from the perspective of the librarian, explore review sources, recommend materials for individual users, and learn about resources in the YA and middle grades fields. Students will examine programs that promote reading and other library activities and examine legal, ethical and other issues surrounding youth services in libraries.",
EDU 411,Reading & Cognition,3,"The task of learning to read is a very complex process involving the application of perceptual, sensory, linguistic, and cognitive skills to making meaning of text. Exploration of the specific cognitive functions that are applied while reading and strategies supporting reading instruction and reading comprehension skills will be addressed. The implications of digital media on reading skills will also be explored in this course.",
EDU 416,Intelligence Assessment,3,"This course will explore the definition of intelligence, different theories of intelligence, the use of intelligence tests in a variety of settings, and the impact of family and culture on intelligence. Educational and learning expectations, programs bases on intelligence scores, and cultural biases that may impact educational opportunities will be investigated across the lifespan. Prerequisite:",
EDU 428,Student Achievement in Public Schools,3,"This course will examine various factors influencing student achievement in public schools. Influencing factors will include motivation theories, as well as the impact of families, teachers and schools on student success. Issues of equity and access to quality educational programs will be considered.",
EDU 431,Advanced Instructional Design,3,"In this course, students will apply the systematic approach of instructional design to design and develop instruction for online delivery. Throughout this course, students will evaluate trends and issues in the field of instructional design. Students will apply knowledge and skills acquired throughout the Bachelor of Arts in Instructional Design program to assess the quality of instructional design projects. Prerequisites:",
EDU 120,"and EDU 232.
EDU 433 Project Management for Instructional Design",3,"Instructional design requires careful and thoughtful collaboration among a variety of design team members. In this course various project management tools, procedures, and methodologies will be introduced as they are applied to projects in education or training. Students will explore the relationship of time constraints, cost, scope, and the nature of the project being designed. Prerequisites:",
EDU 120,"and EDU 232.
EDU 440 Information Literacy",3,This course will prepare students to be information-literate practitioners within a library environment. Students will learn the six frameworks of the Association of College and Research Libraries (ACRL) 2023-2024 ACADEMIC CATALOG,
EDU 586,Foundations of American Higher Education,3,"This course provides an examination of the development of higher education in America as seen through historical, legal, philosophical, and social lenses. Students analyze influences of the European model and alternative approaches, and the complex social settings in which these events occur. The development and range of today’s institutions are reviewed with implications for policy development.",
EDU 587,Adult Learning & Development,3,"This course reviews aspects of higher education including curriculum development, delivery, and assessment. Students will study theoretical foundations, models, and methods appropriate for adult learning. A review of literature on adult learning and development will be included.",
